"imgID","imgInt","imgEmo","hm","hsd","am","asd","sam","sasd","fm","fsd","surm","sursd","dm","dsd"
16,0,"neutral",0.15,0.489360484929593,0.15,0.366347548532523,0.95,0.825577947481896,0.1,0.307793505625546,0,0,0.25,0.444261658319319
16,25,"angry",0.05,0.223606797749979,0.3,0.470162345981627,1.7,0.864504725870618,0.25,0.550119604220181,0.05,0.223606797749979,0.4,0.680557047378721
16,25,"disgusted",0.15,0.489360484929593,0.75,1.01954582251634,1.25,0.966545666958261,0.15,0.366347548532523,0.05,0.223606797749979,1.15,0.670820393249937
16,25,"fearful",0.1,0.447213595499958,0.1,0.307793505625546,1.4,0.940324691963255,0.15,0.366347548532523,0.1,0.307793505625546,0.2,0.523148363780597
16,25,"happy",0.65,0.670820393249937,0.1,0.307793505625546,0.55,0.604805318829299,0.1,0.307793505625546,0.15,0.366347548532523,0.35,0.489360484929593
16,25,"sad",0.2,0.523148363780597,0.1,0.307793505625546,1.45,0.825577947481897,0.15,0.489360484929593,0.05,0.223606797749979,0.05,0.223606797749979
16,25,"surprised",0.25,0.638666373658505,0.1,0.307793505625546,1,0.917662935482247,0,0,0,0,0.3,0.470162345981627
16,50,"angry",0,0,1.2,1.00524937990007,1.8,1.10501250290617,0.5,0.606976978666884,0.05,0.223606797749979,0.65,0.670820393249937
16,50,"disgusted",0,0,1.2,0.833508753466491,0.65,0.812727700887249,0.15,0.366347548532523,0.3,0.571240570577479,2.2,1.10501250290617
16,50,"fearful",0,0,0.05,0.223606797749979,1.25,0.966545666958261,1.65,0.988086934168084,1.35,1.08942283125661,0.4,0.598243041616119
16,50,"happy",1.5,0.888523316638639,0.05,0.223606797749979,0.3,0.571240570577479,0,0,0.1,0.307793505625546,0.15,0.489360484929593
16,50,"sad",0,0,0,0,2.5,0.688247201611685,0.2,0.410391340834062,0.1,0.307793505625546,0.2,0.523148363780597
16,50,"surprised",0.45,0.68633274115326,0.05,0.223606797749979,0.25,0.550119604220181,0.5,0.760885910252682,1.7,0.571240570577479,0.15,0.366347548532523
16,75,"angry",0,0,2.15,0.875093979915421,1.75,1.06992375527664,0.35,0.489360484929593,0.15,0.366347548532523,0.8,0.894427190999916
16,75,"disgusted",0,0,1.45,1.14593101656986,1.35,1.30887657735053,0.35,0.812727700887249,0.6,0.598243041616119,2.6,1.14248114115496
16,75,"fearful",0,0,0.15,0.366347548532523,0.7,0.864504725870618,2.8,1.00524937990007,1.65,0.988086934168084,1.05,1.14593101656986
16,75,"happy",2.2,0.767771895949915,0,0,0.15,0.366347548532523,0,0,0.35,0.670820393249937,0.1,0.307793505625546
16,75,"sad",0,0,0,0,2.85,0.812727700887249,0.35,0.489360484929593,0.1,0.307793505625546,0.15,0.366347548532523
16,75,"surprised",0.5,0.606976978666884,0,0,0.1,0.307793505625546,0.55,0.68633274115326,2.75,0.716350399411379,0.1,0.307793505625546
16,100,"angry",0,0,2.85,0.988086934168084,1.85,1.34848843251679,0.4,0.680557047378721,0.05,0.223606797749979,0.8,0.951453182187509
16,100,"disgusted",0,0,1.5,0.888523316638639,0.85,1.18210338847862,0.25,0.550119604220181,0.3,0.571240570577479,2.85,1.08942283125661
16,100,"fearful",0,0,0.25,0.550119604220181,0.75,0.850696309223401,3.3,0.571240570577479,2.05,1.19097483291276,0.65,0.812727700887249
16,100,"happy",2.85,0.670820393249937,0,0,0.05,0.223606797749979,0,0,0.15,0.366347548532523,0,0
16,100,"sad",0.1,0.307793505625546,0.05,0.223606797749979,2.85,1.08942283125661,0.25,0.444261658319319,0.2,0.523148363780597,0.1,0.307793505625546
16,100,"surprised",0.6,0.753937034925052,0,0,0.2,0.410391340834062,0.35,0.5871429486124,3,0.725476250110012,0.15,0.366347548532523
18,0,"neutral",0.1,0.447213595499958,0.15,0.366347548532523,0.9,0.718184846459608,0.4,0.598243041616119,0.2,0.410391340834062,0.15,0.366347548532523
18,25,"angry",0.05,0.223606797749979,0.15,0.366347548532523,0.9,0.718184846459608,0.7,0.978720969859186,0.2,0.523148363780597,0.2,0.410391340834062
18,25,"disgusted",0,0,0.5,0.760885910252682,0.45,0.604805318829299,0.2,0.410391340834062,0.4,0.753937034925052,1.35,0.812727700887249
18,25,"fearful",0.1,0.307793505625546,0.15,0.366347548532523,0.85,0.812727700887249,0.65,0.745159820370595,0.65,0.745159820370595,0.15,0.366347548532523
18,25,"happy",0.35,0.5871429486124,0.05,0.223606797749979,0.5,0.827170191868511,0.35,0.489360484929593,0.2,0.523148363780597,0.5,0.688247201611685
18,25,"sad",0.05,0.223606797749979,0.1,0.307793505625546,1.4,0.940324691963254,0.8,0.833508753466491,0.1,0.307793505625546,0.3,0.571240570577479
18,25,"surprised",0.1,0.307793505625546,0.2,0.410391340834062,0.5,0.606976978666884,0.8,0.951453182187509,0.8,0.894427190999916,0.35,0.5871429486124
18,50,"angry",0,0,1.05,0.944513241388333,1.35,0.875093979915421,0.4,0.502624689950035,0.2,0.695852373938459,0.5,0.606976978666884
18,50,"disgusted",0.05,0.223606797749979,0.85,1.08942283125661,0.2,0.410391340834062,0.15,0.366347548532523,0.35,0.489360484929593,2.2,0.894427190999916
18,50,"fearful",0,0,0.05,0.223606797749979,1.1,1.02083557106808,2.05,1.14593101656986,1.45,1.09904264559757,0.55,0.887041208323017
18,50,"happy",2,0.64888568452305,0,0,0.1,0.307793505625546,0.1,0.307793505625546,0.4,0.502624689950035,0.1,0.307793505625546
18,50,"sad",0,0,0,0,2.55,0.825577947481897,0.85,0.670820393249937,0.25,0.444261658319319,0.2,0.523148363780597
18,50,"surprised",0.15,0.489360484929593,0,0,0.25,0.550119604220181,1,0.917662935482247,2.5,0.760885910252682,0.35,0.670820393249937
18,75,"angry",0,0,1,0.794719414239026,1.3,0.923380516876639,0.5,0.827170191868511,0.4,0.680557047378721,0.8,0.951453182187509
18,75,"disgusted",0,0,0.75,0.638666373658505,0.15,0.366347548532523,0.35,0.5871429486124,0.05,0.223606797749979,2.55,0.944513241388333
18,75,"fearful",0,0,0.05,0.223606797749979,0.55,0.825577947481897,2.65,1.30887657735053,2.25,1.40955386745706,0.6,0.882579950158088
18,75,"happy",2.95,0.604805318829299,0,0,0.05,0.223606797749979,0,0,0.3,0.571240570577479,0,0
18,75,"sad",0,0,0.1,0.307793505625546,2.7,0.801314709186032,0.7,0.732695097065047,0.25,0.910465468000326,0.35,0.489360484929593
18,75,"surprised",0.3,0.571240570577479,0,0,0.2,0.410391340834062,0.7,0.732695097065047,3.2,0.767771895949915,0.05,0.223606797749979
18,100,"angry",0.05,0.223606797749979,0.95,1.05006265477226,1.7,1.34164078649987,0.85,0.875093979915421,0.25,0.550119604220181,0.9,0.911909506128991
18,100,"disgusted",0,0,1,0.858395075278952,0.45,0.68633274115326,0.4,0.598243041616119,1.05,0.887041208323017,2.4,0.882579950158088
18,100,"fearful",0,0,0.1,0.307793505625546,0.6,0.820782681668123,2.85,1.13670808176853,2.35,1.53125335660212,0.85,0.875093979915421
