Rater ID,Gender,Age,Nationality
tw_01,女,20,Taiwanese
tw_02,男,25,Taiwanese
 tw_03,女,25,Taiwanese
tw_04,男,25,Taiwanese
tw_05,男,28,Taiwanese
tw_06,男,25,Taiwanese
tw_07,女,21,Taiwanese
tw_08,男,26,Taiwanese
tw_09,男,24,Taiwanese
tw_10,女,22,Taiwanese
tw_11,男,25,Taiwanese
tw_12,女,19,Taiwanese
tw_13,男,23,Taiwanese
tw_14,女,26,Taiwanese
tw_15,男,27,Taiwanese
tw_16,男,23,Taiwanese
tw_17,男,20,Taiwanese
tw_18,女,26,Taiwanese
tw_19,女,25,Taiwanese
tw_20,女,20,Taiwanese
